category,name,loc_type,urn,loc_lcid,loc_lang,loc_value
activities,activity,default,ugc:activities:activity,1033,en,Activity
activities,activity,plural,ugc:activities:activity,1033,en,Activities
activities,adventure,default,ugc:activities:adventure,1033,en,Adventure
activities,adventure,plural,ugc:activities:adventure,1033,en,Adventures
activities,arcadeGame,default,ugc:activities:arcadeGame,1033,en,Arcade Games
activities,backpacking,default,ugc:activities:backpacking,1033,en,Backpacking
activities,ballet,default,ugc:activities:ballet,1033,en,Ballet
activities,baseball,default,ugc:activities:baseball,1033,en,Baseball
activities,basketball,default,ugc:activities:basketball,1033,en,Basketball
activities,biking,default,ugc:activities:biking,1033,en,Biking
activities,birdWatching,default,ugc:activities:birdWatching,1033,en,Bird Watching
activities,blackjack,default,ugc:activities:blackjack,1033,en,Black Jack
activities,boating,default,ugc:activities:boating,1033,en,Boating
activities,bowling,default,ugc:activities:bowling,1033,en,Bowling
activities,bungeeJumping,default,ugc:activities:bungeeJumping,1033,en,Bungee Jumping
activities,camping,default,ugc:activities:camping,1033,en,Camping
activities,canoeing,default,ugc:activities:canoeing,1033,en,Canoeing
activities,caveExploring,default,ugc:activities:caveExploring,1033,en,Cave Exploring
activities,concert,default,ugc:activities:concert,1033,en,Concert
activities,concert,plural,ugc:activities:concert,1033,en,Concerts
activities,coralReef,default,ugc:activities:coralReef,1033,en,Coral Reef
activities,coralReef,plural,ugc:activities:coralReef,1033,en,Coral Reefs
activities,crossCountrySkiing,default,ugc:activities:crossCountrySkiing,1033,en,Cross-Country Skiing
activities,cultural,default,ugc:activities:cultural,1033,en,Cultural
activities,culture,default,ugc:activities:culture,1033,en,Culture
activities,dancing,default,ugc:activities:dancing,1033,en,Dancing
activities,dining,default,ugc:activities:dining,1033,en,Dining
activities,diving,default,ugc:activities:diving,1033,en,Diving
activities,dolphin,default,ugc:activities:dolphin,1033,en,Dolphin
activities,dolphin,plural,ugc:activities:dolphin,1033,en,Dolphins
activities,ecotourism,default,ugc:activities:ecotourism,1033,en,Ecotourism
activities,entertainment,default,ugc:activities:entertainment,1033,en,Entertainment
activities,excursions,default,ugc:activities:excursions,1033,en,Excursions
activities,festival,default,ugc:activities:festival,1033,en,Festival
activities,festival,plural,ugc:activities:festival,1033,en,Festivals
activities,fishing,default,ugc:activities:fishing,1033,en,Fishing
activities,football,default,ugc:activities:football,1033,en,Football
activities,gambling,default,ugc:activities:gambling,1033,en,Gambling
activities,game,default,ugc:activities:game,1033,en,Game
activities,game,plural,ugc:activities:game,1033,en,Games
activities,golf,default,ugc:activities:golf,1033,en,Golf
activities,hiking,default,ugc:activities:hiking,1033,en,Hiking
activities,hockey,default,ugc:activities:hockey,1033,en,Hockey
activities,horseRacing,default,ugc:activities:horseRacing,1033,en,Horse Racing
activities,horsebackRiding,default,ugc:activities:horsebackRiding,1033,en,Horseback Riding
activities,hunting,default,ugc:activities:hunting,1033,en,Hunting
activities,iceSkating,default,ugc:activities:iceSkating,1033,en,Ice Skating
activities,indoorSkiing,default,ugc:activities:indoorSkiing,1033,en,Indoor Skiing
activities,innerTubing,default,ugc:activities:innerTubing,1033,en,Inner Tubing
activities,jazz,default,ugc:activities:jazz,1033,en,Jazz
activities,kayaking,default,ugc:activities:kayaking,1033,en,Kayaking
activities,kiteSurfing,default,ugc:activities:kiteSurfing,1033,en,Kite Surfing
activities,lazyRiver,default,ugc:activities:lazyRiver,1033,en,Lazy River
activities,liveMusic,default,ugc:activities:liveMusic,1033,en,Live Music
activities,mountainBiking,default,ugc:activities:mountainBiking,1033,en,Mountain Biking
activities,mountaineering,default,ugc:activities:mountaineering,1033,en,Mountaineering
activities,musical,default,ugc:activities:musical,1033,en,Musical
activities,musical,plural,ugc:activities:musical,1033,en,Musicals
activities,opera,default,ugc:activities:opera,1033,en,Opera
activities,paddleBoarding,default,ugc:activities:paddleBoarding,1033,en,Paddle Boarding
activities,paragliding,default,ugc:activities:paragliding,1033,en,Paragliding
activities,parasailing,default,ugc:activities:parasailing,1033,en,Parasailing
activities,rafting,default,ugc:activities:rafting,1033,en,Rafting
activities,rockClimbing,default,ugc:activities:rockClimbing,1033,en,Rock Climbing
activities,rollerskating,default,ugc:activities:rollerskating,1033,en,Roller Skating
activities,roulette,default,ugc:activities:roulette,1033,en,Roulette
activities,rowing,default,ugc:activities:rowing,1033,en,Rowing
activities,running,default,ugc:activities:running,1033,en,Running
activities,safari,default,ugc:activities:safari,1033,en,Safari
activities,sailing,default,ugc:activities:sailing,1033,en,Sailing
activities,segwayTour,default,ugc:activities:segwayTour,1033,en,Segway Tour
activities,segwayTour,plural,ugc:activities:segwayTour,1033,en,Segway Tours
activities,sharks,default,ugc:activities:sharks,1033,en,Sharks
activities,shopping,default,ugc:activities:shopping,1033,en,Shopping
activities,sightseeing,default,ugc:activities:sightseeing,1033,en,Sightseeing
activities,ski,default,ugc:activities:ski,1033,en,Ski
activities,skyDiving,default,ugc:activities:skyDiving,1033,en,Sky Diving
activities,sledding,default,ugc:activities:sledding,1033,en,Sledding
activities,slotMachine,default,ugc:activities:slotMachine,1033,en,Slot Machine
activities,snorkeling,default,ugc:activities:snorkeling,1033,en,Snorkeling
activities,snowTubing,default,ugc:activities:snowTubing,1033,en,Snow Tubing
activities,snowboarding,default,ugc:activities:snowboarding,1033,en,Snowboarding
activities,snowmobileRiding,default,ugc:activities:snowmobileRiding,1033,en,Snowmobile Riding
activities,snowshoeing,default,ugc:activities:snowshoeing,1033,en,Snowshoeing
activities,soccer,default,ugc:activities:soccer,1033,en,Soccer
activities,spa,default,ugc:activities:spa,1033,en,Spa
activities,spa,plural,ugc:activities:spa,1033,en,Spas
activities,sports,default,ugc:activities:sports,1033,en,Sports
activities,stargazing,default,ugc:activities:stargazing,1033,en,Stargazing
activities,surfing,default,ugc:activities:surfing,1033,en,Surfing
activities,swimming,default,ugc:activities:swimming,1033,en,Swimming
activities,tennis,default,ugc:activities:tennis,1033,en,Tennis
activities,theater,default,ugc:activities:theater,1033,en,Theater
activities,tour,default,ugc:activities:tour,1033,en,Tour
activities,tour,plural,ugc:activities:tour,1033,en,Tours
activities,wakeboarding,default,ugc:activities:wakeboarding,1033,en,Wake Boarding
activities,walking,default,ugc:activities:walking,1033,en,Walking
activities,waterSkiing,default,ugc:activities:waterSkiing,1033,en,Water Skiing
activities,whaleWatching,default,ugc:activities:whaleWatching,1033,en,Whale Watching
activities,windSurfing,default,ugc:activities:windSurfing,1033,en,Wind Surfing
activities,yoga,default,ugc:activities:yoga,1033,en,Yoga
activities,ziplining,default,ugc:activities:ziplining,1033,en,Ziplining
adjectives,adjective,default,ugc:adjectives:adjective,1033,en,Adjective
adjectives,adjective,plural,ugc:adjectives:adjective,1033,en,Adjectives
adjectives,familyFriendly,default,ugc:adjectives:familyFriendly,1033,en,Family Friendly
adjectives,free,default,ugc:adjectives:free,1033,en,Free
adjectives,friendlyPeople,default,ugc:adjectives:friendlyPeople,1033,en,Friendly People
adjectives,help,default,ugc:adjectives:help,1033,en,Help
adjectives,lgbtFriendly,default,ugc:adjectives:lgbtFriendly,1033,en,LGBT Friendly
adjectives,petFriendly,default,ugc:adjectives:petFriendly,1033,en,Pet Friendly
adjectives,sustainable,default,ugc:adjectives:sustainable,1033,en,Sustainable
amenities,airConditioning,default,ugc:amenities:airConditioning,1033,en,Air Conditioning
amenities,airport,default,ugc:amenities:airport,1033,en,Airport
amenities,airport,plural,ugc:amenities:airport,1033,en,Airports
amenities,airportTransportation,default,ugc:amenities:airportTransportation,1033,en,Airport Transportation
amenities,allInclusive,default,ugc:amenities:allInclusive,1033,en,All Inclusive
amenities,amenity,default,ugc:amenities:amenity,1033,en,Amenity
amenities,amenity,plural,ugc:amenities:amenity,1033,en,Amenities
